id,createdAt,path,name,dimension,parentId,isReflection,order,updatedAt,cLevel,dLevel,ancestorTags
,"{""_seconds"":1747960617,""_nanoseconds"":265000000}",,Adult Children,,zKa9ymJQUI8dA5x9p3bV,,96,"{""_seconds"":1747960617,""_nanoseconds"":265000000}",3,3,
,"{""_seconds"":1747960651,""_nanoseconds"":883000000}",,1969,,RxjXFh2MPTgLqpNTq2Nm,,9,"{""_seconds"":1748665552,""_nanoseconds"":315000000}",4,4,
1aa825ef-41fc-40e6-919f-576f6f9cb8a2,"{""_seconds"":1748207807,""_nanoseconds"":960000000}","[""About"",""About"",""Experiential"",""Holidays""]",Christmas,about,332b9bc7-e145-4895-b70f-24cfef6daf3f,,1,"{""_seconds"":1748207807,""_nanoseconds"":960000000}",,,
1b4ca262-c2be-49bf-b08e-e28e9dc4e096,"{""_seconds"":1748207809,""_nanoseconds"":394000000}","[""Alternative""]",Alternative,about,,1,9,"{""_seconds"":1748207809,""_nanoseconds"":394000000}",,,
1bdf9132-fa0a-4e67-b4f4-b1a749ebbe2e,"{""_seconds"":1748207806,""_nanoseconds"":428000000}","[""WHAT - Themes/Domains"",""WHAT - Themes/Domains"",""Ancestry""]",Family Names,what,063c5b11-6fda-469b-b257-23bbf4301a6f,,1,"{""_seconds"":1748207806,""_nanoseconds"":428000000}",,,
27de2bbd-a178-4121-9cbd-827b800f9926,"{""_seconds"":1748207809,""_nanoseconds"":414000000}","[""Favorites""]",Favorites,about,,1,10,"{""_seconds"":1748207809,""_nanoseconds"":414000000}",,,
27ea0e27-666f-4552-8f90-1acba0643dfe,"{""_seconds"":1748207806,""_nanoseconds"":461000000}","[""WHAT - Themes/Domains"",""WHAT - Themes/Domains"",""Education""]",Preschool,what,c3896ed1-bb2e-4cc1-8be0-2bb219a991c2,,1,"{""_seconds"":1748207806,""_nanoseconds"":461000000}",,,
28d36476-5075-421a-85db-2d2a896fd136,"{""_seconds"":1748207809,""_nanoseconds"":342000000}","[""WHERE"",""WHERE"",""World""]",Domestic,where,525e3630-fcca-4802-84c2-189d9d9f4948,,2,"{""_seconds"":1748207809,""_nanoseconds"":342000000}",,,
,"{""_seconds"":1747960630,""_nanoseconds"":331000000}",,Clemson Football Games,,hw68Dxwy7zIc2MQ12evx,,10,"{""_seconds"":1747960630,""_nanoseconds"":331000000}",4,4,
,"{""_seconds"":1747960656,""_nanoseconds"":166000000}",,2016,,EzDPICFFlo1IOIQ0UXNO,,6,"{""_seconds"":1748665765,""_nanoseconds"":989000000}",4,4,
2bbc9c28-bdf3-4fae-beb3-9b3f6e0a64bf,"{""_seconds"":1748207806,""_nanoseconds"":484000000}","[""WHAT - Themes/Domains"",""WHAT - Themes/Domains""]",Birthdays,what,e14d08ba-222d-4c0c-b880-ee392bbf8f69,,3,"{""_seconds"":1748207806,""_nanoseconds"":484000000}",,,
,"{""_seconds"":1747960652,""_nanoseconds"":430000000}",,1974,,GTWPUbW6oZjCD0wH2twI,,4,"{""_seconds"":1747960652,""_nanoseconds"":430000000}",4,4,
