id,name,dimension,parentId,Order,,,,,,,
74.00,The 1990s,when,70.00,4,,,,,,,
74.01,1990,when,74.00,1,,,,,,,
74.02,1991,when,74.00,2,,,,,,,
74.03,1992,when,74.00,3,,,,,,,
74.04,1993,when,74.00,4,,,,,,,
74.05,1994,when,74.00,5,,,,,,,
74.06,1995,when,74.00,6,,,,,,,
74.07,1996,when,74.00,7,,,,,,,
74.08,1997,when,74.00,8,,,,,,,
74.09,1998,when,74.00,9,,,,,,,
74.10,1999,when,74.00,10,,,,,,,
75.00,The 2000s,when,70.00,5,,,,,,,
75.01,2000,when,75.00,1,,,,,,,
75.02,2001,when,75.00,2,,,,,,,
75.03,2002,when,75.00,3,,,,,,,
75.04,2003,when,75.00,4,,,,,,,
75.05,2004,when,75.00,5,,,,,,,
75.06,2005,when,75.00,6,,,,,,,
75.07,2006,when,75.00,7,,,,,,,
75.08,2007,when,75.00,8,,,,,,,
75.09,2008,when,75.00,9,,,,,,,
75.10,2009,when,75.00,10,,,,,,,
76.00,The 2010s,when,70.00,6,,,,,,,
76.01,2010,when,76.00,1,,,,,,,
76.02,2011,when,76.00,2,,,,,,,
76.03,2012,when,76.00,3,,,,,,,
76.04,2013,when,76.00,4,,,,,,,
76.05,2014,when,76.00,5,,,,,,,
76.06,2015,when,76.00,6,,,,,,,
76.07,2016,when,76.00,7,,,,,,,
76.08,2017,when,76.00,8,,,,,,,
76.09,2018,when,76.00,9,,,,,,,
76.10,2019,when,76.00,10,,,,,,,
77.00,The 2020s,when,70.00,7,,,,,,,
77.01,2020,when,77.00,1,,,,,,,
77.02,2021,when,77.00,2,,,,,,,
77.03,2022,when,77.00,3,,,,,,,
77.04,2023,when,77.00,4,,,,,,,
77.05,2024,when,77.00,5,,,,,,,
77.06,2025,when,77.00,6,,,,,,,
77.07,2026,when,77.00,7,,,,,,,
77.08,2027,when,77.00,8,,,,,,,
77.09,2028,when,77.00,9,,,,,,,
77.10,2029,when,77.00,10,,,,,,,
78.00,Month,when,68.00,2,,,,,,,
78.01,January,when,78.00,1,,,,,,,
78.02,February,when,78.00,2,,,,,,,
78.03,March,when,78.00,3,,,,,,,
78.04,April,when,78.00,4,,,,,,,
78.05,May,when,78.00,5,,,,,,,
78.06,June,when,78.00,6,,,,,,,
78.07,July,when,78.00,7,,,,,,,
78.08,August,when,78.00,8,,,,,,,
78.09,September,when,78.00,9,,,,,,,
78.10,October,when,78.00,10,,,,,,,
78.11,November,when,78.00,11,,,,,,,
78.12,December,when,78.00,12,,,,,,,
79.00,Seasons,when,68.00,3,,,,,,,
79.01,winter,when,79.00,1,,,,,,,
79.02,spring,when,79.00,2,,,,,,,
79.03,summer,when,79.00,3,,,,,,,
79.04,fall,when,79.00,4,,,,,,,
80.00,Stage,when,68.00,4,,,,,,,
80.01,Childhood,when,80.00,1,,,,,,,
80.02,Infancy,when,80.00,2,,,,,,,
80.03,Toddler,when,80.00,3,,,,,,,
80.04,Childhood,when,80.00,4,,,,,,,
80.05,Teenager,when,80.00,5,,,,,,,
80.06,Adulthood,when,80.00,2,,,,,,,
81.00,Future,when,68.00,2,,,,,,,
82.00,WHERE,where,NULL,4,,,,,,,
83.00,World,where,82.00,1,,,,,,,
84.00,International,where,83.00,1,,,,,,,
85.00,Country,where,84.00,1,,,,,,,
86.00,State,where,85.00,1,,,,,,,
87.00,City,where,86.00,1,,,,,,,
88.00,Place,where,87.00,1,,,,,,,
88.01,Beach,where,88.00,1,,,,,,,
88.02,Mountains,where,88.00,2,,,,,,,
89.00,Domestic,where,83.00,2,,,,,,,
90.00,Country,where,89.00,1,,,,,,,
91.00,State,where,90.00,1,,,,,,,
92.00,City,where,91.00,1,,,,,,,
93.00,Place,where,92.00,1,,,,,,,
93.01,Greenhill Rd.,where,93.00,1,,,,,,,
93.02,Creighton St.,where,93.00,2,,,,,,,
93.03,Cleveland St,where,93.00,3,,,,,,,
93.04,Parkins Mill Rd,where,93.00,4,,,,,,,
93.05,Woodrow,where,93.00,5,,,,,,,
93.06,Maple St.,where,93.00,6,,,,,,,
93.07,Spanish Villas,where,93.00,7,,,,,,,
93.08,Springbrook,where,93.00,8,,,,,,,
93.09,Linbrook Dr,where,93.00,9,,,,,,,
93.10,Amberglen Ln,where,93.00,10,,,,,,,
93.11,Ave des Abeilles,where,93.00,11,,,,,,,
93.12,Woodbrook,where,93.00,12,,,,,,,
93.13,Andellle,where,93.00,13,,,,,,,
93.14,Capitol View,where,93.00,14,,,,,,,
93.15,McEwen Northside,where,93.00,15,,,,,,,
94.00,REFLECTIONS,reflection,NULL,5,,,,,,,
95.00,Outcomes,reflection,94.00,1,,,,,,,
95.01,Success / Failure,reflection,95.00,1,,,,,,,
95.02,Right Call / Mistake,reflection,95.01,2,,,,,,,
95.03,Blessing/Curse,reflection,95.02,3,,,,,,,
95.04,Surprise/Expected,reflection,95.03,4,,,,,,,
95.05,Regret/Disappointment,reflection,95.04,5,,,,,,,
96.00,Lessons,reflection,94.00,2,,,,,,,
96.01,Learnings/Evolution,reflection,96.00,1,,,,,,,
96.02,Wisdom/Advice,reflection,96.00,2,,,,,,,
96.03,Inspiration/Motivation,reflection,96.00,3,,,,,,,
96.04,Do Differently/Alternative,reflection,96.00,4,,,,,,,
96.05,Growth/Differences,reflection,96.00,5,,,,,,,
97.00,Superlatives,reflection,94.00,3,,,,,,,
97.01,Best / Worst,reflection,97.00,1,,,,,,,
97.02,Happiest / Saddest,reflection,97.00,2,,,,,,,
97.03,Toughest / Easiest,reflection,97.00,3,,,,,,,
97.04,Favorite / Least Favorite,reflection,97.00,4,,,,,,,
97.05,Likes/Dislikes,reflection,97.00,5,,,,,,,
97.06,Longest / Shortest,reflection,97.00,6,,,,,,,
97.07,Most / Least,reflection,97.00,7,,,,,,,
97.08,Strengths / Weaknesses,reflection,97.00,8,,,,,,,
,,,,,,,,,,,
